Year Released,Album Length,Album Name,Artist
2022,65.55,I NEVER LIKED YOU,Future
2022,65.1,I NEVER LIKED YOU (Instrumental),Future
2020,82.81,Pluto x Baby Pluto (Deluxe),Future
2020,54.48,Pluto x Baby Pluto,Future
2020,70.28,High Off Life,Future
2019,20.28,SAVE ME,Future
2019,61.99,Future Hndrxx Presents: The WIZRD,Future
2018,49.61,Future & Juice WRLD Present... WRLD ON DRUGS,Future
2018,31.83,BEASTMODE 2,Future
2018,77.5,SUPERFLY (Original Motion Picture Soundtrack),Future
2017,40.83,SUPER SLIMEY,Future
2017,76.67,HNDRXX,Future
2017,74.35,FUTURE,Future
2016,42.43,EVOL,Future
2016,39.88,Purple Reign,Future
2015,40.6,What A Time To Be Alive,Drake
2015,86.52,DS2 (Deluxe),Future
2015,21.74,DS2 - Track by Track Commentary,Future
2015,23.34,56 Nights,Future
2015,27.87,Beast Mode (Instrumentals),Future
2015,24.96,Beast Mode,Future
2014,46.45,Monster,Future
2014,66.86,Honest,Future
2018,66.3,QUAVO HUNCHO,Quavo
2017,41.58,"Huncho Jack, Jack Huncho",Huncho Jack
2021,28.46,Sleazy,SleazyWorld Go
2020,36.88,The Sleazy Way,SleazyWorld Go
2020,29.34,Big Sleaz,SleazyWorld Go
2021,72.32,A Gangsta’s Pain: Reloaded,Moneybagg Yo
2021,51.5,A Gangsta’s Pain,Moneybagg Yo
2020,38.44,Code Red,Moneybagg Yo
2020,61.63,Time Served (Deluxe),Moneybagg Yo
2020,41.24,Time Served,Moneybagg Yo
2019,40.45,43VA HEARTLESS,Moneybagg Yo
2018,43.73,RESET,Moneybagg Yo
2018,23.66,Bet On Me,Moneybagg Yo
2018,50.87,2 Heartless,Moneybagg Yo
2018,49.87,Money Bags From The Trap,Moneybagg Yo
2017,43.09,Fed Baby’s,Moneybagg Yo
2017,44.35,Federal 3X,Moneybagg Yo
2017,35.87,Heartless,Moneybagg Yo
2016,61.24,2 Federal,Moneybagg Yo
2016,27.75,All Gas No Brakes,Moneybagg Yo
2016,61.99,ELO: Everybody Lives On,Moneybagg Yo
2016,73.64,Federal Reloaded,Moneybagg Yo
2017,49.93,Hidden Figures - Original Score,Hans Zimmer
2014,50.82,G I R L,Pharrell Williams
2006,124.84,In My Mind (Deluxe Edition),Pharrell Williams
2006,64.42,In My Mind,Pharrell Williams
2021,59.89,The Voice of the Heroes,Lil Baby
2020,81.42,My Turn (Deluxe),Lil Baby
2020,60.88,My Turn,Lil Baby
2018,41.62,Street Gossip,Lil Baby
